"Code","Collect","Preface","Liturgical Date","Calendar Date","Hebrew Reading","Psalm Reading","Epistle Reading","Gospel Reading"
"lent5","Almighty God, you alone can bring into order the unruly wills and affections of sinners: Grant your people grace to love what you command and desire what you promise; that, among the swift and varied changes of the world, our hearts may surely there be fixed where true joys are to be found; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lent","Fifth Sunday in Lent","March 21, 2021","Jeremiah 31:31-34","Psalm 51:1-12 or Psalm 119:9-16","Hebrews 5:5-10","John 12:20-33"
"annunciation","Pour your grace into our hearts, O Lord, that we who have known the incarnation of your Son Jesus Christ, announced by an angel to the Virgin Mary, may by his cross and passion be brought to the glory of his resurrection; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","epiphany","Annunciation of the Lord ","March 25, 2021","Isaiah 7:10-14","Psalm 45 or Psalm 40:5-10","Hebrews 10:4-10","Luke 1:26-38"
"zliturgyofpalms",,,"Liturgy of the Palms","March 28, 2021",,"Psalm 118:1-2, 19-29",,"Mark 11:1-11 or John 12:12-16"
"palmsunday","Almighty and everliving God, in your tender love for the human race you sent your Son our Savior Jesus Christ to take upon him our nature, and to suffer death upon the cross, giving us the example of his great humility: Mercifully grant that we may walk in the way of his suffering, and also share in his resurrection; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever. ","holyweek","Liturgy of the Passion","March 28, 2021","Isaiah 50:4-9a","Psalm 31:9-16","Philippians 2:5-11","Mark 14:1-15:47 or Mark 15:1-39, (40-47)"
"holymonday","Almighty God, whose most dear Son went not up to joy but first he suffered pain, and entered not into glory before he was crucified: Mercifully grant that we, walking in the way of the cross, may find it none other than the way of life and peace; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","holyweek","Monday of Holy Week","March 29, 2021","Isaiah 42:1-9","Psalm 36:5-11","Hebrews 9:11-15","John 12:1-11"
"holytuesday","O God, by the passion of your blessed Son you made an instrument of shameful death to be for us the means of life: Grant us so to glory in the cross of Christ, that we may gladly suffer shame and loss for the sake of your Son our Savior Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","holyweek","Tuesday of Holy Week","March 30, 2021","Isaiah 49:1-7","Psalm 71:1-14","1 Corinthians 1:18-31","John 12:20-36"
"holywednesday","Lord God, whose blessed Son our Savior gave his body to be whipped and his face to be spit upon: Give us grace to accept joyfully the sufferings of the present time, confident of the glory that shall be revealed; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","holyweek","Wednesday of Holy Week","March 31, 2021","Isaiah 50:4-9a","Psalm 70","Hebrews 12:1-3","John 13:21-32"
"maundythursday","Almighty Father, whose dear Son, on the night before he suffered, instituted the Sacrament of his Body and Blood: Mercifully grant that we may receive it thankfully in remembrance of Jesus Christ our Lord, who in these holy mysteries gives us a pledge of eternal life; and who now lives and reigns with you and the Holy Spirit, one God, for ever and ever.","holyweek","Maundy Thursday","April 1, 2021","Exodus 12:1-4, (5-10), 11-14","Psalm 116:1-2, 12-19","1 Corinthians 11:23-26","John 13:1-17, 31b-35"
"goodfriday","Almighty God, we pray you graciously to behold this your family, for whom our Lord Jesus Christ was willing to be betrayed, and given into the hands of sinners, and to suffer death upon the cross; who now lives and reigns with you and the Holy Spirit, one God, for ever and ever.","holyweek","Good Friday","April 2, 2021","Isaiah 52:13-53:12","Psalm 22","Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9","John 18:1-19:42"
"holysaturday","O God, Creator of heaven and earth: Grant that, as the crucified body of your dear Son was laid in the tomb and rested on this holy Sabbath, so we may await with him the coming of the third day, and rise with him to newness of life; who now lives and reigns with you and the Holy Spirit, one God, for ever and ever.","holyweek","Holy Saturday","April 3, 2021","Job 14:1-14 or Lamentations 3:1-9, 19-24","Psalm 31:1-4, 15-16","1 Peter 4:1-8","Matthew 27:57-66 or John 19:38-42"
"eastervigil","O God, who made this most holy night to shine with the glory of the Lord’s resurrection: Stir up in your Church that Spirit of adoption which is given to us in Baptism, that we, being renewed both in body and mind, may worship you in sincerity and truth; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","easter","Easter Vigil","April 4, 2021","Genesis 1:1-2:4a and Psalm 136:1-9, 23-26 / Genesis 7:1-5, 11-18; 8:6-18; 9:8-13 and Psalm 46 / Genesis 22:1-18 and Psalm 16 / Exodus 14:10-31; 15:20-21 and Exodus 15:1b-13, 17-18 / Isaiah 55:1-11 and Isaiah 12:2-6 / Baruch 3:9-15, 3:32-4:4 or Proverbs 8:1-8, 19-21; 9:4b-6 and Psalm 19 / Ezekiel 36:24-28 and Psalm 42, 43 / Ezekiel 37:1-14 and Psalm 143 / Zephaniah 3:14-20 and Psalm 98",,"Romans 6:3-11 and Psalm 114","Mark 16:1-8"
"resurrection1","O God, who for our redemption gave your only-begotten Son to the death of the cross, and by his glorious resurrection delivered us from the power of our enemy: Grant us so to die daily to sin, that we may evermore live with him in the joy of his resurrection; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","easter","Resurrection of the Lord",,,,,
"resurrection2","O God, who made this most holy night to shine with the glory of the Lord’s resurrection: Stir up in your Church that Spirit of adoption which is given to us in Baptism, that we, being renewed both in body and mind, may worship you in sincerity and truth; through Jesus Christ our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","easter","Resurrection of the Lord","April 4, 2021","Acts 10:34-43 or Isaiah 25:6-9","Psalm 118:1-2, 14-24","1 Corinthians 15:1-11 or Acts 10:34-43","John 20:1-18 or Mark 16:1-8"
"resurrection3","Almighty God, who through your only-begotten Son Jesus Christ overcame death and opened to us the gate of everlasting life: Grant that we, who celebrate with joy the day of the Lord’s resurrection, may be raised from the death of sin by your life-giving Spirit; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","easter","Resurrection of the Lord",,,,,
"zeasterevening","Almighty God, who through your only-begotten Son Jesus Christ overcame death and opened to us the gate of everlasting life: Grant that we, who celebrate with joy the day of the Lord’s resurrection, may be raised from the death of sin by your life-giving Spirit; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","easter","Easter Evening","April 4, 2021","Isaiah 25:6-9","Psalm 114","1 Corinthians 5:6b-8","Luke 24:13-49"
"eastermonday","Grant, we pray, Almighty God, that we who celebrate with awe the Paschal feast may be found worthy to attain to everlasting joys; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","easter","Monday in Easter Week",,,,,
"eastertuesday","O God, who by the glorious resurrection of your Son Jesus Christ destroyed death and brought life and immortality to light: Grant that we, who have been raised with him, may abide in his presence and rejoice in the hope of eternal glory; through Jesus Christ our Lord, to whom, with you and the Holy Spirit, be dominion and praise for ever and ever.","easter","Tuesday in Easter Week",,,,,
"easterwednesday","O God, whose blessed Son made himself known to his disciples in the breaking of bread: Open the eyes of our faith, that we may behold him in all his redeeming work; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","easter","Wednesday in Easter Week",,,,,
"easterthursday","Almighty and everlasting God, who in the Paschal mystery established the new covenant of reconciliation: Grant that all who have been reborn into the fellowship of Christ’s Body may show forth in their lives what they profess by their faith; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","easter","Thursday in Easter Week",,,,,
"easterfriday","Almighty Father, who gave your only Son to die for our sins and to rise for our justification: Give us grace so to put away the leaven of malice and wickedness, that we may always serve you in pureness of living and truth; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","easter","Friday in Easter Week",,,,,
"eastersaturday","We thank you, heavenly Father, that you have delivered us from the dominion of sin and death and brought us into the kingdom of your Son; and we pray that, as by his death he has recalled us to life, so by his love he may raise us to eternal joys; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","easter","Saturday in Easter Week",,,,,
"easter2","Almighty and everlasting God, who in the Paschal mystery established the new covenant of reconciliation: Grant that all who have been reborn into the fellowship of Christ’s Body may show forth in their lives what they profess by their faith; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","easter","Second Sunday of Easter","April 11, 2021","Acts 4:32-35","Psalm 133","1 John 1:1-2:2","John 20:19-31"
"easter3","O God, whose blessed Son made himself known to his disciples in the breaking of bread: Open the eyes of our faith, that we may behold him in all his redeeming work; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","easter","Third Sunday of Easter","April 18, 2021","Acts 3:12-19","Psalm 4","1 John 3:1-7","Luke 24:36b-48"
"easter4","O God, whose Son Jesus is the good shepherd of your people: Grant that when we hear his voice we may know him who calls us each by name, and follow where he leads; who, with you and the Holy Spirit, lives and reigns, one God, for ever and ever.","easter","Fourth Sunday of Easter","April 25, 2021","Acts 4:5-12","Psalm 23","1 John 3:16-24","John 10:11-18"
"easter5","Almighty God, whom truly to know is everlasting life: Grant us so perfectly to know your Son Jesus Christ to be the way, the truth, and the life, that we may steadfastly follow his steps in the way that leads to eternal life; through Jesus Christ your Son our Lord, who lives and reigns with you, in the unity of the Holy Spirit, one God, for ever and ever.","easter","Fifth Sunday of Easter","May 2, 2021","Acts 8:26-40","Psalm 22:25-31","1 John 4:7-21","John 15:1-8"
"easter6","O God, you have prepared for those who love you such good things as surpass our understanding: Pour into our hearts such love towards you, that we, loving you in all things and above all things, may obtain your promises, which exceed all that we can desire; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","easter","Sixth Sunday of Easter","May 9, 2021","Acts 10:44-48","Psalm 98","1 John 5:1-6","John 15:9-17"
"ascension1","Almighty God, whose blessed Son our Savior Jesus Christ ascended far above all heavens that he might fill all things: Mercifully give us faith to perceive that, according to his promise, he abides with his Church on earth, even to the end of the ages; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, in glory everlasting.","ascension","Ascension of the Lord","May 13, 2021","Acts 1:1-11","Psalm 47 or Psalm 93","Ephesians 1:15-23","Luke 24:44-53"
"ascension2","Grant, we pray, Almighty God, that as we believe your only-begotten Son our Lord Jesus Christ to have ascended into heaven, so we may also in heart and mind there ascend, and with him continually dwell; who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","ascension","Ascension of the Lord",,,,,
"easter7","O God, the King of glory, you have exalted your only Son Jesus Christ with great triumph to your kingdom in heaven: Do not leave us comfortless, but send us your Holy Spirit to strengthen us, and exalt us to that place where our Savior Christ has gone before; who lives and reigns with you and the Holy Spirit, one God, in glory everlasting.","easter","Seventh Sunday of Easter","May 16, 2021","Acts 1:15-17, 21-26","Psalm 1","1 John 5:9-13","John 17:6-19"
