2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Titles of Days (BCP 31ff.),Preface,Prepare,Hymn Ent,Greeting,Opening Prayer,Song of Praise,Psalm Style,Sequence,Hymn Seq,Homily,Creed,PoP,Confession,Peace,Announcements,Offertory,Hymn Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Comm Hymn,Hymn Communion,Post-Communion,Blessing,Processional,Hymn Process,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel,
01/25/21,,January 25,314,conversionstpaul,The Conversion of Saint Paul the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 67,Acts 26:9-21,Galatians 1:11-24,Matthew 10:16-22,
01/31/21,,,214,epiphany4,The Fourth Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 111,Deuteronomy 18:15-20,1 Corinthians 8:1-13,Mark 1:21-28,
02/07/21,,,215,epiphany5,The Fifth Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 147:1-12, 21c",Isaiah 40:21-31,1 Corinthians 9:16-23,Mark 1:29-39,
02/14/21,,,219,epiphanylast,The Last Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 50:1-6,2 Kings 2:1-12,2 Corinthians 4:3-6,Mark 9:2-9,
02/17/21,,,401,ashwednesday,"The First Day of Lent, or Ash Wednesday",lent,stt/2021/preparing-covid,,,,,he/psalms/responsively,,,he/homily/brief,he/ashwed/invitation,,he/ashwed/litanyofpenitence,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/ashwed,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 103,"Joel 2:1-2, 12-17",2 Corinthians 5:20b-6:10,"Matthew 6:1-6, 16-21",
02/21/21,,,221,lent1,The First Sunday in Lent,lent,stt/2021/preparing-covid,,,he/greatlitany,he/songofpraise/lordhavemercy,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,,,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 25:1-9,Genesis 9:8-17,1 Peter 3:18-22,Mark 1:9-15,
02/24/21,February 24,,302,presentation,The Presentation of our Lord Jesus Christ in the Temple,epiphany,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 84,Malachi 3:1-4,Hebrews 2:14-18,Luke 2:22-40,
02/24/21,,February 24,315,stmatthias,Saint Matthias the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 15,Acts 1:15-26,Philippians 3:13b-21,"John 15:1,6-16",
02/28/21,,,222,lent2,The Second Sunday in Lent,lent,stt/2021/preparing-covid,,he/greeting/blessthelord,he/penitentialorder,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,levas-184,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,levas-1,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 22:22-30,"Genesis 17:1-7, 15-16",Romans 4:13-25,Mark 8:31-38,
03/07/21,,,223,lent3,The Third Sunday in Lent,lent,stt/2021/preparing-covid,,he/greeting/blessthelord,he/penitentialorder,he/songofpraise/kyrie,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,hymns/h-431,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,hymns/h-455,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 19,Exodus 20:1-17,1 Corinthians 1:18-25,John 2:13-22,
