2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Preface,Prepare,HymnEntrance,Greeting,Collect for Purity,Song of Praise,Psalm,Sequence,Homily,Creed,Prayers,Confession,Peace,Announcements,Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Communion Hymn,Post-Communion,Blessing,Procession,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel
03/30/21,,,403,holytuesday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 71:1-14,Isaiah 49:1-7,1 Corinthians 1:18-31,John 12:20-36
03/31/21,,,404,holywednesday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 70,Isaiah 50:4-9a,Hebrews 12:1-3,John 13:21-32
04/01/21,,,405,maundythursday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 116:1, 10-17",Exodus 12:1-14,1 Corinthians 11:23-26,"John 13:1-17, 31b-35"
04/02/21,,,406,goodfriday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 22,Isaiah 52:13-53:12,Hebrews 10:16-25,John 18:1-19:42
04/03/21,,,101,eastervigil,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 114,,Romans 6:3-11,Mark 16:1-8
04/03/21,,,407,holysaturday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 31:1-4, 15-16",Job 14:1-14,1 Peter 4:1-8,Matthew 27:57-66
04/04/21,,,104,resurrection3,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 118:1-2, 14-24",Isaiah 25:6-9,Acts 10:34-43,Mark 16:1-8
04/04/21,,,501,eastereve,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 114,Isaiah 25:6-9,1 Corinthians 5:6b-8,Luke 24:13-49
04/05/21,,,502,eastermonday,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 16:8-11,"Acts 2:14,22b-32",,Matthew 28:9-15
04/06/21,,,503,eastertuesday,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 33:18-22,Acts 2:36-41,,John 20:11-18
04/07/21,,,503,easterwednesday,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 105:1-8,Acts 3:1-10,,Luke 24:13-35
04/08/21,,,505,easterthursday,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 8,Acts 3:11-26,,Luke 24:36b-48
04/09/21,,,506,easterfriday,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 116:1-8,Acts 4:1-12,,John 21:1-14
04/10/21,,,507,eastersaturday,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 118:14-18,Acts 4:13-21,,"Mark 16:9-15,20"
04/11/21,,,231,easter2,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 133,Acts 4:32-35,1 John 1:1-2:2,John 20:19-31
04/18/21,,,232,easter3,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 4,Acts 3:12-19,1 John 3:1-7,Luke 24:36b-48
04/25/21,,,233,easter4,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 23,Acts 4:5-12,1 John 3:16-24,John 10:11-18
04/26/21,,April 25,332,stmark,allsaints,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 2,Isaiah 52:7-10,"Ephesians 4:7-8,11-16",Mark 1:1-15
05/01/21,,May 1,316,stsphilipjames,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 119:33-40,Isaiah 30:18-21,2 Corinthians 4:1-6,John 14:6-14
05/02/21,,,234,easter5,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 22:24-30,Acts 8:26-40,1 John 4:7-21,John 15:1-8
05/09/21,,,235,easter6,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 98,Acts 10:44-48,1 John 5:1-6,John 15:9-17
05/13/21,,,105,ascension1,ascension,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 47,Acts 1:1-11,Ephesians 1:15-23,Luke 24:44-53
05/16/21,,,236,easter7,easter,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 1,"Acts 1:15-17, 21-26",1 John 5:9-13,John 17:6-19
05/23/21,,,107,pentecost1,pentecost,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 104:24-34, 35b",Ezekiel 37:1-14,Acts 2:1-21,John 15:26-27; 16:4b-15
05/30/21,,,109,trinity,trinity,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 29,Isaiah 6:1-8,Romans 8:12-17,John 3:1-17
05/31/21,,May 31,304,visitation,epiphany,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 113,1 Samuel 2:1-10,Romans 12:9-16b,Luke 1:39-57
06/06/21,,,255,proper5,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 138,"1 Samuel 8:4-20, 11:14-15",2 Corinthians 4:13-5:1,Mark 3:20-35
06/11/21,,June 11,317,stbarnabas,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 112,Isaiah 42:5-12,Acts 11:19-30;13:1-3,Matthew 10:7-16
06/13/21,,,256,proper6,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 20,1 Samuel 15:34-16:13,2 Corinthians 5:6-17,Mark 4:26-34
06/20/21,,,257,proper7,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 9:9-20,"1 Samuel 17:1a, 4-11, 19-23, 32-49",2 Corinthians 6:1-13,Mark 4:35-41
06/24/21,,June 24,305,nativitystjohnbaptist,advent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 85,Isaiah 40:1-11,Acts 13:14b-26,Luke 1:57-80
06/27/21,,,258,proper8,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 130,"2 Samuel 1:1, 7-27",2 Corinthians 8:7-15,Mark 5:21-43
06/29/21,,June 29,318,stspeterpaul,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 87,Ezekiel 34:11-16,2 Timothy 4:1-8,John 21:15-19
07/04/21,,,259,proper9,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 48,"2 Samuel 5:1-5, 9-10",2 Corinthians 12:2-10,Mark 6:1-13
07/05/21,,July 4,348,independenceday,trinity,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 145,Deuteronomy 10:17-21,Hebrews 11:8-16,Matthew 5:43-48
07/11/21,,,260,proper10,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 24,"2 Samuel 6:1-5, 12b-19",Ephesians 1:3-14,Mark 6:14-29
07/18/21,,,261,proper11,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 89:20-37,2 Samuel 7:1-14a,Ephesians 2:11-22,"Mark 6:30-34, 53-56"
07/22/21,,July 22,344,stmarymagdalene,allsaints,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 42:1-7,"Judith 9:1,11-14",2 Corinthians 5:14-18,John 20:11-18
07/25/21,,,262,proper12,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 14,2 Samuel 11:1-15,Ephesians 3:14-21,John 6:1-21
07/26/21,,July 25,319,stjames,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 7:1-10,Jeremiah 45:1-5,Acts 11:27-12:3,Matthew 20:20-28
08/01/21,,,263,proper13,lordsday,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 51:1-13,2 Samuel 11:26 – 12:13a,Ephesians 4:1-16,John 6:24-35
08/06/21,August 6,,306,transfiguration,epiphany,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 99,Exodus 34:29-35,2 Peter 1:13-21,Luke 9:28-36
08/08/21,,,264,proper14,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 130,"2 Samuel 18:5-9, 15, 31-33",Ephesians 4:25-5:2,"John 6:35, 41-51"
08/15/21,,,265,proper15,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 111,1 Kings 2:10-12; 3:3-14,Ephesians 5:15-20,John 6:51-58
08/16/21,,August 15,345,stmaryvirgin,incarnation,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 34,Isaiah 61:10-11,Galatians 4:4-7,Luke 1:46-55
08/22/21,,,266,proper16,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 84,"1 Kings 8:1, 6, 10-11, 22-30, 41-43",Ephesians 6:10-20,John 6:56-69
08/24/21,,August 24,320,stbartholomew,apostles,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 91,Deuteronomy 18:15-18,1 Corinthians 4:9-15,Luke 22:24-30
08/29/21,,,267,proper17,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 45:1-2, 7-10",Song of Solomon 2:8-13,James 1:17-27,"Mark 7:1-8, 14-15, 21-23"
09/05/21,,,268,proper18,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 125,"Proverbs 22:1-2, 8-9, 22-23",James 2:1-17,Mark 7:24-37
09/12/21,,,269,proper19,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 19,Proverbs 1:20-33,James 3:1-12,Mark 8:27-38
09/14/21,,September 14,307,holycross,holyweek,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 98,Isaiah 45:21-25,Philippians 2:5-11,John 12:31-36a
09/19/21,,,270,proper20,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 1,Proverbs 31:10-31,"James 3:13 - 4:3, 7-8a",Mark 9:30-37
09/21/21,,September 21,331,stmatthew,apostles,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 119:33-40,Proverbs 3:1-6,2 Timothy 3:14-17,Matthew 9:9-13
09/26/21,,,271,proper21,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 124,"Esther 7:1-6, 9-10; 9:20-22",James 5:13-20,Mark 9:38-50
09/29/21,,September 29,346,stmichaelallangels,trinity,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 103,Genesis 28:10-17,Revelation 12:7-12,John 1:47-51
10/03/21,,,272,proper22,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 26,"Job 1:1, 2:1-10","Hebrews 1:1-4, 2:5-12",Mark 10:2-16
10/10/21,,,273,proper23,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 22:1-15,"Job 23:1-9, 16-17",Hebrews 4:12-16,Mark 10:17-31
10/11/21,,,999,thanksgivingcanada,trinity,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 126,Joel 2:21-27,1 Timothy 2:1-7,Matthew 6:25-33
10/17/21,,,274,proper24,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 104:1-9, 25, 37b","Job 38:1-7, 34-41",Hebrews 5:1-10,Mark 10:35-45
10/18/21,,October 18,333,stluke,allsaints,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 147,"Sirach 38:1-4,6-10,12-14",2 Timothy 4:5-13,Luke 4:14-21
10/23/21,,October 23,347,stjamesjerusalem,allsaints,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 1,Acts 15:12-22a,1 Corinthians 15:1-11,Matthew 13:54-58
10/24/21,,,275,proper25,lordsday,,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 34:1-8, 19-22","Job 42:1-6, 10-17",Hebrews 7:23-28,Mark 10:46-52
10/28/21,,October 28,321,stssimonjude,apostles,,,,,,,,,,,,,,,,,,,,,,,,,Psalm 119:89-96,Deuteronomy 32:1-4,Ephesians 2:13-22,John 15:17-27
